business_id,name,address,city,postal_code,stars,review_count
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,10359 104 Street NW,Edmonton,T5J 1B9,4.0,40
JX4tUpd09YFchLBuI43lGw,Naked Cyber Cafe & Espresso Bar,10303  108 Street NW,Edmonton,T5J 1L7,4.0,12
5BmQX4UVJY19mMtafMg7JA,Breadland Organic Whole Grain Bakery,11642 104 Avenue- Unit 642,Edmonton,T5K 2T7,4.0,23
cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,10588 109 Street,Edmonton,T5H 3B2,5.0,20
mFTaYsRDyeFaY2NDLfSaAA,River City Games,5203 99 Street NW,Edmonton,T6E 5B7,4.5,5
l6VYP8AxIoW6U52aDo8fXg,HMV Superstore,8882 170th Street,Edmonton,T5T 4M2,4.0,24
h_qlv6CIXGVurFOhFQ945w,Tim Hortons,17004 111 Avenue NW,Edmonton,T5S 2X1,3.5,6
EDNYAyVc_WFhM3CD6QVD4A,Ottewell Animal Clinic,6142 90 Avenue NW,Edmonton,T6B 0P2,4.0,13
YR0nwxBOKk6DiLHNItfsBQ,Boston Pizza,200 St. Albert Rd,St Albert,T8N 5H9,3.5,14
jcL_qaGJiappzpnn-ifSoA,Fat Jakks,10126 - 107 Avenue NW,Edmonton,T5H 0V6,4.0,8
dCITjr2RMTmrX33_eFaMKA,BurgerWorks,160 Broadway Boulevard,Sherwood Park,T8H 2A3,3.5,17
qps-oF95uqPoV7fiXn-dpg,Bear's Skin Art Studio,11217 143 Street NW,Edmonton,T5P 3M8,2.0,5
JfGfqCnk0-Tnf6PlahPUJQ,Burger Village,6187 Currents Drive NW,Edmonton,T6W 0L9,4.0,10
JwBTq6IOFH97b9Hr6RT7pw,Reinette Café & Patisserie,2890-8882 170 Street NW,Edmonton,T5T 4J2,3.0,5
0Xsmy6HtVVBlCbbMjRyzcg,Plaza Bowling,10418 118 Avenue NW,Edmonton,T5G 0P7,4.5,19
QU6xxKwHXR6xQ5oi2yIKLw,Bulk Barn,8069 104 Street NW,Edmonton,T6E 4E2,4.0,33
PXI7kvSV-NvWcqbI9jlmtg,Best Western Cedar Park Inn,5116 Gateway Boulevard,Edmonton,T6H 2H4,3.0,17
GpFRwCHN0RI8yFbcfXjfUg,V Sandwiches,10127 100A Street NW,Edmonton,T5J,3.5,9
bf34LpGej_MZbOlAKB1beQ,Sherbrooke Liquor Store,11819 Saint Albert Trail NW,Edmonton,T5L 5B5,4.5,77
lPPYZr1_jx0XeW-xR9WJtw,DOSC,10190 - 104 Street NW- Main Floor,Edmonton,T5J 1A7,4.0,87
Iipfa9Kaac9XH5Vo8GQwvg,Starbucks,5956 153 Avenue,Edmonton,T5Y 2W1,3.5,10
jZoeTGRfhG9n_Jo6VMqwxw,Sushi Wasabi,5714 111 Street NW,Edmonton,T6H 3G1,4.0,57
O0YHVrUtxbsEhQ4qaWkVaw,Boston Pizza,10115 Princess Elizabeth Avenue NW,Edmonton,T5G 0X9,2.5,6
JQ75_672GKJQ3tK1togIWw,Golden Capital Restaurant,180 - 1020 Sherwood Drive,Sherwood Park,T8A 2G4,3.5,8
sOcGOqOeObtIBhuvcWuY8g,Gallagher's Pub,8937 82 Avenue NW,Edmonton,T6C 0Z3,2.5,6
u2vLwrSEMtrLc9Og15TTug,Massage Heights,356 Mayfield Common,Edmonton,T5P 4B3,3.5,9
0C1Ux9EjTz7WHtmSHph0RA,Hampton Medical Clinic,6274 - 199 St,Edmonton,T6M,2.5,7
2qhuQ-tnonyLEQLw2cbvAg,Tim Hortons,12852 167 Avenue NW,Edmonton,T6V 1J6,3.0,9
LVJHr65jC1p8BlzFadwBuQ,Sherwood Nissan,10 Broadway Boulevard,Sherwood Park,T8H 2A2,2.0,16
