tip_id,user_id,business_id,date,compliment_count
1,I6aRZ4sE7ixv0_2r3-XvGw,c5nLy7YgXG-IIrOmqJv1nA,2016-04-23 02:44:03,0
2,Pqf7MYeNsSnC8aSOgg-Oxw,jSr8KHVtQWgC_S_xNyrG5w,2017-06-30 02:38:47,0
3,wfi0T-xq_P5sKQvwQitlYg,i4Fbd8a3P2xLbK2lFo2HEg,2015-05-30 21:43:24,0
4,kRlC4Got8Uo9RHdEcWVMuA,zBpNvn_gH6T9KYTZCvqtxg,2016-05-23 00:33:04,0
5,UqVnFtX7ORbDhMW6Pd77Jw,Esf3-D_44pArPd9GqysoCg,2010-12-07 18:44:34,0
6,roGoHGWTkYrerml4wr6Wmg,ZVIYUbsrSFGffkFj5knDgg,2014-03-24 22:52:10,0
7,rBeKFxV0PJ-wXMjaEa8G5A,HXGaZ0lcx_MSyku18pYa5w,2017-11-30 17:27:04,0
8,R_ge--Kz3jRuJ_dQmyTgHg,H_hPq97IKbyUJRfORKCzWw,2016-08-05 07:05:14,0
9,kkPgJv6KBFN15caG7NYYlg,HSpOc3IrbXtEP3I18phh-w,2015-05-29 06:52:00,0
10,r-4zmrheIIo-4rrKP2B_Ow,gIK65LSNWO7BP7AKIbs-JA,2013-05-16 18:00:30,0
11,3YhG4h4Ok654iVfqdmkuRg,xO6FIZL2UbhTuvUl9jI68A,2015-05-19 21:20:39,1
12,tgsU2AYnlpa2mSYpD44OPQ,jPtMsCPN_lEpf9rOElNC4A,2017-06-22 01:23:44,0
13,eSSMdkCnfVe1YEU8hcK5bg,iYk-AEfIvQm_WDbjXpYA-Q,2013-08-25 01:55:59,0
14,weB8wGdi1A1SXh8CMCXDTw,VZWuhqiPJCZmHfJmwdiCGA,2018-03-30 02:36:09,0
15,r-4zmrheIIo-4rrKP2B_Ow,16F4GypSrqrwObH6IkaOUg,2013-11-28 17:22:32,0
16,mOG5mkGewd88iX2cyxbrgQ,VZWuhqiPJCZmHfJmwdiCGA,2018-03-29 04:12:17,0
17,UBJyvq29CsaAqYI8vloS-g,Ivda64EJHZVQa1hBBRJumg,2014-06-05 23:09:30,0
18,JB_uYhuYPIZJrM45Bdg_Jg,f9_TLVlUHBv0869CygEbZg,2013-02-24 21:40:42,0
19,lAW03ccfMEuRZiDqvVgc0w,m6W5XWVpX94OpAS4nls1NQ,2017-09-23 01:14:45,0
20,9SmZsp2AaXhXr4tinaoeAg,qzqR-O_gi6eDeXbV0Yjjow,2011-08-06 07:08:40,0
21,o_KK0tgEOiSROXIWIBxXMw,guL3EuVNI18uVYGuK7AFtA,2014-08-23 21:07:16,0
22,qTFIkN5t9mRdADyiCJivnw,PQWm36WjJFS0u-KgoHZVcQ,2015-02-15 01:01:03,0
23,Pqf7MYeNsSnC8aSOgg-Oxw,WNzWL7w9FhsRSU--nGn1Qg,2017-06-23 19:23:00,0
24,W7iLDP6GY4joKZ1zSCOEfA,dLVXcceTQlOYJRz9N4M0xg,2014-03-20 22:58:05,0
25,klm0BR4IQgU0sdO-_1UuKg,-rDN9oCIZmmL6nM_NTDQ8w,2011-02-20 00:42:38,0
26,RBfUKIVVHzhZ0itx_h0xsQ,zaC6coZ5Gp8mLjeg7Slh6A,2014-06-15 15:35:25,0
27,dkGiUz_6ircqVfHJCTgQFQ,634lLd6xevDeUZYjAJ5b0g,2013-05-31 22:39:41,0
28,nC9V777rlZbKWm3m0QlXYg,3r5nsgXOEEhGrN-3BOHCDg,2012-01-01 03:47:57,0
29,lAW03ccfMEuRZiDqvVgc0w,DrL3dsQ9bI3mhHUd3Q1qcQ,2013-02-08 04:44:24,0
30,31LWy6H2QdnzYn8zMhJDaQ,B3JF06ctShiYJeg1FyJ5jA,2017-09-30 05:32:25,0
31,w5gf5mJpV-pOpA7dxMHJCw,K-WZ5iVCGGnyq9aaXXG--A,2013-08-26 00:02:52,0
32,cSyDw2Dzmgfu2GsKlLJmNQ,YItdzn46TqsGx2EPY1zNQQ,2015-05-23 21:37:22,0
33,roGoHGWTkYrerml4wr6Wmg,lZJ7UL3SaqgPsItQnnykKA,2016-08-19 18:59:02,0
34,xGS_mlHcCUipSKXrHk6CGw,BooG5Hd_BTxlAu1JWbXdOg,2013-11-27 07:00:49,0
35,uudFcHK_OjA-LR6mkdcgug,4rkmJMJ7NzQQ8TZ2MZ2xZg,2014-03-16 22:19:29,0
36,-uM1ujzuJed-2QmFS-6Vog,U7HUYQAUzjBraAi_pEsHIA,2016-11-24 02:19:58,0
37,Vc4QSYKAOf8NXriGXo919Q,QUgg6921aOtX2x87-JeEvw,2012-03-20 17:05:31,0
38,Q77LrYBz5DuNQj-rh8mWHA,wCC9_DcBVUmhvNWQGqfILA,2016-11-30 02:13:10,0
39,-2U8X6XX1NV1mYX-2MCtKg,uM0ljy6pQIegLJtBUw9dOQ,2012-10-27 08:04:09,0
40,WUe2Znv3qH6pjshc1jjzJg,u_8Kik1IK5AMCXQZnbjC-A,2012-07-21 17:05:03,0
41,CzV4FlITtTjnq8dyiXiGkQ,boLOUdV5T1O5a1cWaClfDA,2016-01-27 01:38:14,0
42,rYgOoyCS9oaJ0hOTeVNvEA,TDce9fSwoN_jZ3nVuDy0iQ,2014-06-17 18:31:37,0
43,lAW03ccfMEuRZiDqvVgc0w,D3H0pQUSO4uW9PxX2Cb9jA,2015-05-18 22:31:39,0
44,R6M5aafvjMWxOaIzhAd44w,8xTB4N_kRvxaZLV_qIKZ_A,2013-02-22 08:34:49,0
45,lAW03ccfMEuRZiDqvVgc0w,3ytlUFfZ4MzFhl-Jvi9kNw,2013-02-17 22:58:40,0
46,xAokxQCo2EkxfIkeXaJWRQ,2d7rO6a0HdyEg2Nnf3kLKg,2014-07-26 16:43:23,0
47,lAW03ccfMEuRZiDqvVgc0w,8iC9sHVPLlqpazhcYhZs7g,2017-09-02 20:36:51,0
48,wTiQDpw5W6LcOt8J3DKeuQ,N-ej51lLtIl4TMC-Qb3k4A,2017-03-30 17:06:12,0
49,3YhG4h4Ok654iVfqdmkuRg,DalmrmNvPaDc6qy1EolEiw,2018-03-22 18:30:57,0
50,TnCK7XwqmSmeDh3jzTyp-w,72Dzf_fNuT1u0MIHE5avIA,2013-12-04 02:46:01,0
51,zTbrTefzPG6A7BprPkjHrQ,bbzD8rZl3i-NTzernYkxig,2014-06-15 00:33:03,0
52,Gv2wHeY8sQuyEUS8yX56HA,wDV-rdks_6O-jBkKhzThBQ,2016-01-02 23:28:13,0
53,Gm6zTOSV24Xejl6LOzoXSw,CDImgve1BDJVaG1XZ_qfUQ,2012-03-12 16:31:40,0
54,2feiZFzICp_mLONEpzY0pA,RCZu9USYtC6S_btjFJ_YEw,2013-09-10 05:32:02,0
55,zTbrTefzPG6A7BprPkjHrQ,0PuMW9UIcnrpBUx8HemzPA,2014-07-19 00:51:31,0
56,VWm4wgG0-Ca0ANLI_Eb6JA,Id_FzuIECTCom2UeENyxlg,2016-04-24 03:10:09,0
57,vU-gy6iAybFGseHpU6_jmw,DNTWwdrsxWKFiHzZ6FyyAg,2016-12-03 09:55:24,0
58,_9Nr_RrFuqmQ7n7vfkXRfw,26EPJeHypRPvF4UgJWi2Zw,2012-03-17 21:02:59,0
59,LqOAgmXiJoPV4HEsKjfDRQ,SsBXq5tma73o7OyY1237Ng,2012-01-08 05:19:10,0
60,jeBlDdbVlYZoGZeCaW4sHw,Z_v-L9ipAAts3JyiCe0RWg,2015-05-25 04:15:14,0
61,wVE0ZKUNn4vsoIyMVhUtLg,ULupb87b2qwWMe1EF5Av2w,2014-08-29 18:30:37,0
62,FrXJchrwolMmp_LjZxpFhg,nzg7zFHesRYmRrRwmX_GyA,2012-06-06 01:37:19,0
63,lAW03ccfMEuRZiDqvVgc0w,pkz0ctu2Nccjznsx_ihr7Q,2014-09-03 21:22:35,0
64,3YhG4h4Ok654iVfqdmkuRg,RJsiOi9v9POOn83yb6tbrQ,2014-03-19 04:27:25,0
65,3YhG4h4Ok654iVfqdmkuRg,mDBXgJGoHl5TJThOc7g9rg,2015-05-29 02:34:10,0
66,8Ldrd41aJRcPrwIJzuAojg,26EPJeHypRPvF4UgJWi2Zw,2012-08-06 23:26:41,0
67,FOfvCOaFZVOa_GIsViSPSA,tGl2jBbSVPEl27cw9ljDvw,2011-11-06 01:53:56,0
68,om5ZiponkpRqUNa3pVPiRg,JI3-QZwm6vihIFBcekgyaA,2012-08-01 18:59:49,0
