user_id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars
j14WgRoU_-2ZE1aw1dXrJg,Daniel,4333,2009-01-25 04:35:42,43091,13066,27281,3138,3.74
om5ZiponkpRqUNa3pVPiRg,Andrea,2811,2006-01-18 02:35:04,18545,9225,13824,1002,3.97
jVYzrVblDFSuL3GHtt8ZSA,Crystal,1030,2008-10-24 03:50:26,5300,3345,3909,364,3.99
3zxy3LVBV3ttxoYbY4rQ8A,Farrah,2073,2008-05-12 09:13:06,27350,11667,17603,2073,3.95
Q5jOFJYhIsN8ouJ1rnsLQQ,Matthew,593,2006-06-21 20:03:01,1216,307,502,36,3.79
Z4rItwH8eQyhqkfGi9_6qg,Solomon,502,2008-04-23 04:00:20,987,406,403,23,3.64
Ve0LUwcrzxL7w0RYgY4Aaw,Katy,1987,2008-08-22 16:38:41,28015,13474,22933,1118,4.2
1sGYXSkJHPhJ6wQtc-RbZw,Kimberly,820,2009-07-12 01:03:14,5441,2976,4264,149,3.85
kLm3B6LeboEZWX_4otpILA,Izzat,1670,2010-04-11 01:43:25,794,183,239,35,3.65
FqYYd3p-phMkZ5GVjkUzxg,Susan,352,2006-05-02 01:19:45,1681,1063,1289,39,4.16
ztVQFPr9khc_TjsBny-3rA,Francesca,414,2009-12-02 18:54:31,1073,289,221,11,3.62
HFECrzYDpgbS5EmTBtj2zQ,Eric,5887,2007-03-28 19:08:35,41470,22226,33884,444,3.94
TvsPmBJt_Ei1RdOtVhjjiQ,Frank,621,2008-05-13 03:05:02,701,254,279,27,3.7
clLKvGH-1oauaInqjp3jkw,Ag,53,2011-03-14 22:13:09,90,22,41,11,3.83
_KeuaQCbJsZ7cipYpBPxDQ,Jerry,9,2010-05-21 05:27:31,21,3,10,11,4.0
hfu64kgzsAPCsN-AEkRB0w,Rita,174,2008-08-02 16:09:37,533,192,258,12,3.53
1Aode8tVfOQzBd5bgKT7SQ,Anna,343,2007-04-03 08:27:06,251,143,127,10,3.69
o-UlLW2RiO8y8uWVwlG3Sw,Jenna-Marie,42,2011-05-19 01:09:01,102,27,39,1,4.05
sVr6_v-lwixu3VREOO9XpA,Aditya,404,2007-06-08 12:12:35,1333,330,638,53,3.76
oH9K7eCuNsYr6MmlM2ZjUg,Bo,1465,2007-11-10 19:35:46,1862,547,1055,129,3.88
2uaD3oqEwLdPdlfPJNG0gw,Tasha,187,2008-02-01 19:45:31,195,62,68,7,3.92
oUK6Xs5dPPnP4whFeZExGg,Wendy,834,2010-07-15 20:42:20,2791,1101,1514,196,3.92
hPQoLbjCdbOD9O1s0c5Evw,Stacey,18,2010-10-19 19:37:26,43,8,7,2,4.11
cMEtAiW60I5wE_vLfTxoJQ,Jennifer,4190,2009-05-02 20:13:36,6495,2884,4672,189,4.05
2XFQXe_Ewzj1VA0PiEHG_A,Glen,185,2007-05-24 08:24:25,219,162,65,15,3.39
UjPKcHvnYYN4WeIK9T1qxA,Darrel,47,2010-06-22 07:58:48,49,27,20,1,4.25
DnadiXc6s8q1evT6rUfZ1Q,Janine,145,2011-09-14 18:29:02,338,76,80,5,3.47
qF0zZHtqaMbFF3UePDCaHg,Emily-Anne,575,2011-02-09 03:51:21,1146,372,550,30,3.98
yIEFxSsZ7tzrKWi4BkjhCg,Joelle,24,2010-03-20 16:40:48,220,43,30,3,2.81
Nu6dMbAr_-DN6QTqMHydmg,Mark,159,2008-11-16 17:49:11,226,61,59,5,3.58
Pf7FI0OukC_CEcCz0ZxoUw,Don,2403,2007-07-10 21:19:17,27066,16240,18953,963,3.93
Vc4QSYKAOf8NXriGXo919Q,Laurel,530,2011-08-29 02:35:29,1166,299,575,31,4.04
2G9534Zx7ph7y9k_QhbMOw,Serena,310,2007-11-26 18:07:10,1474,1075,1363,95,4.23
dboAKYo-6jWm0QkoU4Gw_A,Doug,187,2010-06-21 07:24:22,517,172,265,21,3.49
MzL2FOFRYC7-TliJbTlIig,Valerie,237,2007-03-26 03:19:40,659,464,461,21,3.76
hBgbpWZJHS-y28xfgshBjQ,Laini,212,2011-10-16 03:09:04,544,183,213,17,3.66
q6XnQNNOEgvZaeizUgHTSw,Mike,1022,2010-05-17 18:26:06,1234,314,348,15,3.44
cqjRzEUUGfFVvNodtHNKRw,Katie,863,2008-10-27 03:30:08,1651,431,730,67,3.8
SH8-eeFCJIgVHiEhNlV3xg,Amy,10,2010-09-13 06:14:48,5,0,0,1,3.55
stfKpgEGUE5EV6RMe0FXCg,Tricia,21,2010-11-29 01:28:00,26,6,13,1,3.14
hjhHKl2b02DS6ssWYz_zkg,BB,369,2009-12-08 21:49:27,334,144,140,3,3.33
Di4X6lTZUFJ8mvogeXOGSQ,Glenn,25,2010-04-23 03:38:03,17,6,6,0,5.0
pF1k48uCdLv3clPQXp0d7A,Daniel,357,2007-10-25 04:00:12,1403,1962,824,62,3.58
WGRHpy4skSO5IE_wdxIq2Q,Randee,9,2010-08-28 09:27:10,26,1,2,0,3.8
-GQH3Eif2qCP07v0wFC1Pg,Gord,59,2009-05-06 15:04:49,291,86,106,8,3.77
ABy_uGiyQ7zlndwnodvFaw,Maria,420,2009-09-30 20:27:26,1309,306,295,16,3.73
EmLDYgzmZFXok6ju4LHVRQ,Josh,2,2009-06-26 23:35:54,3,0,0,0,5.0
sdnjNnQNpGB9OsX9fyJ0FQ,Phoebe,1228,2009-09-30 02:44:27,1419,573,593,83,3.61
CgnQrp0OBegXKGnYu-zG5w,Tracy,182,2008-02-06 22:54:53,403,115,120,17,3.88
9SmZsp2AaXhXr4tinaoeAg,Daniel,69,2011-05-06 17:54:20,119,57,32,5,3.39
IEc6gWVPXFxjixKHoDaLKg,Lasha,101,2010-10-21 23:37:24,235,43,108,6,3.59
uaV1KNnaWH87ddVazSx6vw,Tara,129,2011-03-02 23:41:11,316,113,146,7,3.87
PwOr3Jnst2noM37Lm22zmQ,Emily,259,2010-03-27 02:23:48,261,46,121,10,4.11
Vwslifegl59fQVOe5BH1gw,Brittany,550,2010-11-12 02:57:46,1859,663,998,130,3.96
6ObFF8-uKnOAlXuSH4TlyQ,Isabella,1245,2011-02-06 18:09:09,8760,1642,5481,824,4.33
3k7GJ9_zqE14Z3IZ9M4iSA,Lauren,593,2008-09-13 17:40:19,1656,460,609,30,3.77
09BVSK2BeCopebFI6plOIQ,Saba,703,2010-07-28 14:16:17,2562,1016,1902,89,3.9
nXMMoDzXRByQiWH9cf-FAQ,Michael,1143,2008-07-03 15:27:45,5729,3004,4698,126,4.06
lWH8xPPRJfuB_iBvWNPnwg,Thuy,116,2009-03-02 03:16:36,75,19,18,4,3.47
yFOhA0a7toBwUffjC68FrA,Karlie,412,2010-06-22 01:49:42,1484,375,680,31,3.6
is5vAvanYvmF-28i9no2LQ,Janna,1568,2011-03-26 04:55:11,4860,1469,2605,136,3.66
wzyGNvArcpUjZauRWFrKHA,Bill,2512,2011-05-15 22:26:08,12800,7269,9135,375,3.5700000000000003
C0bn6f7mqw_JZuHQ0Y3-_Q,Dave,98,2009-11-10 04:47:37,73,15,23,1,4.0
lnO0vGg4PgC2K9p_NBiQig,Jonar,62,2009-12-02 21:56:48,41,18,16,3,3.47
2OTcrIMxJ1c05Dp2i6sicw,Hans Kristian,8,2009-02-01 17:59:08,14,5,4,1,4.63
tgrs5VQ6thhouiEtMU-N_w,Edward,2899,2011-01-10 09:33:16,4413,1760,2063,154,3.44
WDsr8RnPqbceR3s2yZYr3Q,Aaron,870,2006-11-29 08:50:43,1673,665,795,52,4.3
jEBySjq6tgL-_R3P7LHq0w,Francine,209,2010-03-15 20:09:13,505,125,218,17,3.77
I1Kn2D6aS__ik2GJnoPLIQ,Bridget,237,2011-01-29 20:45:44,546,224,243,28,3.72
_kq9t9najTTZw-eT0VNBgw,Michael,421,2008-05-09 19:54:34,555,199,253,18,3.74
Kh34OUwUgLGSRguPV_MPdw,Brennan,101,2010-05-24 03:29:00,133,56,49,6,3.44
8eEHKw_Ck5jEZSO6Qt146A,Trevor,33,2010-03-12 14:05:00,56,15,17,1,3.51
